year,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Variance,Source Port/Label
31,165.1664052,0,0,85,56.66666667,2408.333333,35131    SMSMALWARE_BIIGE
32,46511.62791,0,0,0,0,0,443    SMSMALWARE_BIIGE
33,136.2583458,0,0,85,56.66666667,2408.333333,54930    SMSMALWARE_BIIGE
34,0.199058883,0.16843444,0,1082,158.12,98760.52667,60575    SMSMALWARE_BIIGE
35,0.026560751,0,0,0,0,0,0    SMSMALWARE_BIIGE
36,148.5663349,445.6990046,0,1460,584,639480,80    SMSMALWARE_BIIGE
37,0.204550498,0,61,61,61,0,5353    SMSMALWARE_BIIGE
38,12.49906257,12.49906257,40,104,61.33333333,1365.333333,21610    SMSMALWARE_BIIGE
39,13.54299275,17.71006744,0,1460,669.516129,499936.8581,44435    SMSMALWARE_BIIGE
40,13.22943815,13.22943815,35,139,69.66666667,3605.333333,27042    SMSMALWARE_BIIGE
41,26.97817466,26.97817466,0,0,0,0,43971    SMSMALWARE_FAKEINST
42,0.06502856,0,0,0,0,0,55815    SMSMALWARE_FAKEINST
43,74074.07407,0,0,55,36.66666667,1008.333333,443    SMSMALWARE_FAKEINST
44,74074.07407,0,0,55,36.66666667,1008.333333,443    SMSMALWARE_FAKEINST
45,1155.624037,0,0,42,10.5,441,60834    SMSMALWARE_FAKEINST
46,26.90124553,26.90124553,0,23,15.33333333,176.3333333,36035    SMSMALWARE_FAKEINST
47,80000,0,0,0,0,0,80    SMSMALWARE_FAKEINST
48,36.84326873,73.68653747,0,0,0,0,443    SMSMALWARE_FAKEINST
49,0.075481944,0,0,0,0,0,0    SMSMALWARE_FAKEINST
50,47619.04762,0,0,0,0,0,8080    SMSMALWARE_FAKEINST
51,95.2653139,0,0,31,20.66666667,320.3333333,38528    SMSMALWARE_FAKEMART
52,20408.16327,0,0,0,0,0,443    SMSMALWARE_FAKEMART
53,27.53303965,27.53303965,0,0,0,0,52210    SMSMALWARE_FAKEMART
54,27.70313322,27.70313322,0,0,0,0,47219    SMSMALWARE_FAKEMART
55,0.028609488,0,0,0,0,0,0    SMSMALWARE_FAKEMART
56,0.307623832,0.369148598,0,243,22.48214286,2122.654221,5222    SMSMALWARE_FAKEMART
57,493.705258,0,0,0,0,0,80    SMSMALWARE_FAKEMART
58,3.28659251,0,0,0,0,0,45962    SMSMALWARE_FAKEMART
59,4.484495976,0,0,0,0,0,45964    SMSMALWARE_FAKEMART
60,0.188517121,0.188517121,0,0,0,0,57068    SMSMALWARE_FAKEMART
61,27.07605664,27.07605664,0,0,0,0,35408    SMSMALWARE_FAKENOTIFY
62,26.95272492,26.95272492,0,0,0,0,49859    SMSMALWARE_FAKENOTIFY
63,51282.05128,0,0,42,28,588,443    SMSMALWARE_FAKENOTIFY
64,309.7253768,0,0,42,10.5,441,58594    SMSMALWARE_FAKENOTIFY
65,186.1966236,0,0,360,90,32400,80    SMSMALWARE_FAKENOTIFY
66,47619.04762,0,0,0,0,0,8080    SMSMALWARE_FAKENOTIFY
67,0.575252556,0.484423205,0,1460,337.8333333,279877.3429,60086    SMSMALWARE_FAKENOTIFY
68,0.042533009,0,0,0,0,0,0    SMSMALWARE_FAKENOTIFY
69,0.296920585,0.346407349,0,259,23.75471698,2244.842525,5222    SMSMALWARE_FAKENOTIFY
70,8.97424392,8.97424392,28,117,57.66666667,2640.333333,11641    SMSMALWARE_FAKENOTIFY
71,3.944347881,3.944347881,0,983,170.7142857,134538.2381,39461    SMSMALWARE_JIFAKE
72,50000,0,0,42,28,588,443    SMSMALWARE_JIFAKE
73,4279.600571,0,0,42,10.5,441,46297    SMSMALWARE_JIFAKE
74,3.673494877,3.673494877,0,983,170.7142857,134538.2381,52296    SMSMALWARE_JIFAKE
75,0.101628743,0.203257486,0,0,0,0,9999    SMSMALWARE_JIFAKE
76,10.01151324,5.00575662,0,0,0,0,5284    SMSMALWARE_JIFAKE
77,0.043195014,0,0,0,0,0,0    SMSMALWARE_JIFAKE
78,0.207787998,0.155840999,0,236,30.86206897,3624.76601,60190    SMSMALWARE_JIFAKE
79,1.406620117,0.703310059,0,0,0,0,18013    SMSMALWARE_JIFAKE
80,8230.452675,0,0,0,0,0,80    SMSMALWARE_JIFAKE
81,26.98982484,26.98982484,0,0,0,0,42120    SMSMALWARE_MAZARBOT
82,8.359875939,4.17993797,0,0,0,0,80    SMSMALWARE_MAZARBOT
83,117647.0588,0,0,55,36.66666667,1008.333333,443    SMSMALWARE_MAZARBOT
84,0.039297327,0,0,31,7.75,240.25,60934    SMSMALWARE_MAZARBOT
85,0.095914375,0,0,0,0,0,0    SMSMALWARE_MAZARBOT
86,0.300976748,0.782539544,0,1448,942.6164384,460503.2953,39050    SMSMALWARE_MAZARBOT
87,31.12636995,24.90109596,0,1418,181.1621622,160874.8063,58459    SMSMALWARE_MAZARBOT
88,0.294155844,0,37,37,37,0,5353    SMSMALWARE_MAZARBOT
89,13.59600821,13.59600821,37,77,50.33333333,533.3333333,1907    SMSMALWARE_MAZARBOT
90,15.09433962,15.09433962,35,200,90,9075,20830    SMSMALWARE_MAZARBOT
91,27777.77778,0,0,23,15.33333333,176.3333333,45360    SMSMALWARE_NANDROBOX
92,80000,0,0,0,0,0,443    SMSMALWARE_NANDROBOX
93,27.05481305,54.1096261,0,23,11.5,176.3333333,56554    SMSMALWARE_NANDROBOX
94,11.59474063,11.59474063,0,0,0,0,38008    SMSMALWARE_NANDROBOX
95,0.028938285,0.05787657,0,0,0,0,80    SMSMALWARE_NANDROBOX
96,6.639841706,19.91952512,0,31,6.2,192.2,60532    SMSMALWARE_NANDROBOX
97,0.064742014,0,0,0,0,0,0    SMSMALWARE_NANDROBOX
98,721.5007215,721.5007215,36,94,55.33333333,1121.333333,15504    SMSMALWARE_NANDROBOX
99,10.12289191,10.12289191,35,89,53,972,3878    SMSMALWARE_NANDROBOX
100,31.85829431,31.85829431,37,101,58.33333333,1365.333333,28429    SMSMALWARE_NANDROBOX
101,25.57086967,51.14173933,0,31,7.75,240.25,57038    SMSMALWARE_PLANKTON
102,0.398302356,0.199151178,0,31,15.5,320.3333333,443    SMSMALWARE_PLANKTON
103,26.93602694,26.93602694,0,23,15.33333333,176.3333333,35072    SMSMALWARE_PLANKTON
104,1402.524544,0,0,31,20.66666667,320.3333333,45922    SMSMALWARE_PLANKTON
105,0.543860378,0.971179246,0,1398,666.95,444265.2282,60042    SMSMALWARE_PLANKTON
106,44444.44444,0,0,0,0,0,80    SMSMALWARE_PLANKTON
107,0.035361672,0,0,0,0,0,0    SMSMALWARE_PLANKTON
108,0.14783423,0,37,37,37,0,5353    SMSMALWARE_PLANKTON
109,0.250289209,0.250289209,35,165,78.33333333,5633.333333,10810    SMSMALWARE_PLANKTON
110,30.91859135,30.91859135,37,215,96.33333333,10561.33333,21136    SMSMALWARE_PLANKTON
111,35714.28571,0,0,42,28,588,443    SMSMALWARE_SMSSNIFFER
112,645.4388985,0,0,42,10.5,441,33043    SMSMALWARE_SMSSNIFFER
113,27.01315541,27.01315541,0,0,0,0,59157    SMSMALWARE_SMSSNIFFER
114,19.94137237,19.94137237,0,0,0,0,48160    SMSMALWARE_SMSSNIFFER
115,35714.28571,0,0,106,35.33333333,3745.333333,80    SMSMALWARE_SMSSNIFFER
116,0.036295301,0,0,0,0,0,0    SMSMALWARE_SMSSNIFFER
117,8.104844265,4.052422133,0,0,0,0,60365    SMSMALWARE_SMSSNIFFER
118,21.12021627,21.12021627,36,230,100.6666667,12545.33333,15210    SMSMALWARE_SMSSNIFFER
119,6.04043467,6.04043467,46,257,116.3333333,14840.33333,3298    SMSMALWARE_SMSSNIFFER
120,0.461485781,0.461485781,28,82,46,972,21905    SMSMALWARE_SMSSNIFFER
121,8.248409088,0,0,0,0,0,443    SMSMALWARE_ZSONE
122,5.129999313,20.51999725,0,1460,937.8846154,466589.4662,36819    SMSMALWARE_ZSONE
123,4.194519441,4.194519441,0,900,199.5714286,129701.2857,56512    SMSMALWARE_ZSONE
124,7017.54386,0,962,1460,1404.666667,27556,80    SMSMALWARE_ZSONE
125,8.666054265,10.66591294,0,1418,307.2333333,243380.4609,40129    SMSMALWARE_ZSONE
126,8.775016475,8.775016475,0,1368,201.4761905,165774.3619,60447    SMSMALWARE_ZSONE
127,0.080920761,0,0,0,0,0,0    SMSMALWARE_ZSONE
128,117.2814168,58.64070838,0,0,0,0,5222    SMSMALWARE_ZSONE
129,701.754386,701.754386,32,48,37.33333333,85.33333333,14814    SMSMALWARE_ZSONE
130,2.905616848,2.905616848,46,188,93.33333333,6721.333333,27838    SMSMALWARE_ZSONE
